activation_event_count,authentication,browser_entrypoint,bytes,category_count,commands,custom_editors,debuggers,dependency_count,dev_dependency_count,extension_id,languages,license_declared,main_entrypoint,repository_declared,sha256,task_definitions,terminal_profiles,untrusted_workspace_limited,valid_manifest,version,virtual_workspace_limited,vscode_engine,webview_views,wildcard_activation
1,0,False,144791,1,1,0,0,0,3,OmVerma.modiji-bhojyam-failure-sound,0,True,True,True,8cc716ffcc025db0e4413617c97ca196805053d99abc64b56666ccce07ec7561,0,0,False,True,1.0.0,False,^1.93.0,0,False
2,0,False,7432858,6,1,0,0,2,10,dotup.dotup-vscode-test-generator,0,True,True,True,8d86301fb67f4ce0b2c76a5d2fa17f8c17a1364c9f0b01381f2d18cc228250cc,0,0,False,True,0.0.3,False,^1.26.0,0,False
1,0,False,23168,0,0,0,1,0,0,vscode.debug-server-ready,0,True,True,True,92ffe1fb458b7e7644b23364211dd7cf62d51a4bb288ae153ba0a0f6cb365ffb,0,0,True,True,1.95.3,False,^1.32.0,0,False
0,0,False,9817,1,0,0,0,0,0,nodesource.vscode-for-node-js-development-pack,0,True,False,True,934268301056f8b78586941a7f04d3892cb1e4c07eec553fcc486d3463774377,0,0,False,True,2.0.1,False,^1.26.0,0,False
1,0,False,3183449,1,7,0,0,0,11,qvpIntern.qvp,0,False,True,True,93b13858cd5c09588e89e70d063b55674ae1e9134cd10c1e3f20218e12654bf0,0,0,False,True,0.6.5,False,^1.46.0,3,True
0,0,False,807897,1,0,0,0,0,13,selfrefactor.niketa-theme-experimental,0,True,False,True,951adf619232179784b572c634477bcdbc115b74a1936da22b2c7f2db3942bac,0,0,False,True,1.4.0,False,^1.27.0,0,False
7,0,False,10656523,1,14,0,0,9,16,hangox.clog-viewer,0,True,True,True,985fd81f914843ab2a76abf8f66c9cb13db2d912f6cea46284131b259780516b,0,0,True,True,1.5.6,False,^1.63.1,2,False
1,0,False,5595,1,1,0,0,0,11,ledihell.Mensajeros-Del-Alba-De-Barbara-Marciniak-Pdf-Free-TOP,0,False,True,False,987c9ae79bc0fe464f989f00a47520e205d90556ddda51ce4eb0f968a28c70ac,0,0,False,True,0.0.1,False,^1.65.0,0,False
1,0,False,25564,1,1,0,0,0,6,ChenJun.vscode-send2terminal,0,False,True,True,9d926d7ac783ef28249d39174ec1e5403f76125fda5d5a8f56a089bae7c3ef17,0,0,False,True,0.0.4,False,^1.5.0,0,True
1,0,False,39276,1,1,0,0,0,14,xicunyang.fe-jump,0,False,True,True,9f706548342d00d69a1a107032b403ea7e3844f0fa5128a2bb7238dffc6438f1,0,0,False,True,1.0.11,False,^1.60.0,0,True
